,0
862,21.66
863,22.1
864,21.9
865,22.07
866,21.75
867,22.26
868,22.13
869,21.99
870,21.82
871,22.25
872,21.74
873,22.05
874,22.03
875,21.36
876,21.92
877,21.94
878,21.96
879,21.61
880,22.1
881,22.05
882,21.91
883,21.84
884,21.86
885,21.72
886,21.9
887,21.87
888,22.0
889,21.57
890,22.1
891,21.82
892,21.76
893,22.12
894,22.18
895,22.34
896,22.11
897,21.95
898,22.15
899,22.04
900,21.95
901,21.92
902,21.8
903,21.83
904,21.73
905,22.47
906,21.96
907,21.79
908,21.97
909,21.85
910,21.9
911,21.86
912,22.32
913,22.08
914,22.23
915,21.93
916,21.82
917,21.83
918,21.93
919,22.08
920,21.75
921,22.07
922,22.06
923,21.42
924,21.95
925,22.09
926,21.89
927,21.94
928,22.13
929,21.89
930,21.49
931,22.12
932,22.16
933,22.01
934,21.59
935,21.95
936,21.9
937,22.19
938,21.16
939,21.88
940,21.86
941,21.95
942,21.87
943,22.14
944,21.95
945,22.1
946,21.6
947,22.3
948,22.13
949,21.84
950,22.24
951,22.16
952,22.02
953,22.08
954,21.98
955,22.31
956,22.16
957,22.0
958,22.18
959,22.09
960,22.48
961,22.16
962,22.02
963,22.08
964,22.33
965,22.02
966,22.09
967,22.2
968,22.04
969,21.63
970,21.78
971,22.09
972,21.91
973,22.27
974,21.78
975,22.17
976,21.94
977,21.92
978,22.07
979,22.16
980,22.32
981,22.47
982,22.05
983,21.77
984,21.98
985,21.88
986,22.04
987,22.31
988,22.29
989,21.75
990,22.06
991,21.74
992,21.98
993,22.04
994,22.37
995,22.39
996,22.08
997,22.09
998,21.92
999,22.11
